№,名前,英語名,HP,攻撃,防御,特攻,特防,素早,合計種族値,タイプ1,タイプ2,特性1特性2(隠し特性),高さ,重さ,捕獲率,性別,経験値,初期なつき度,努力値,タマゴ,孵化,成長,雄率
119,アズマオウ,Seaking,80,92,65,65,80,68,450,みず,,"すいすい
みずのベール
(ひらいしん)",1.3,39.0,60,1:1,158,70,攻撃+2,水中2,5355,100万,0.5
120,ヒトデマン,Staryu,30,45,55,70,55,85,340,みず,,"はっこう
しぜんかいふく
(アナライズ)",0.8,34.5,225,不明,68,70,素早+1,水中3,5355,125万,
121,スターミー,Starmie,60,75,85,100,85,115,520,みず,エスパー,"はっこう
しぜんかいふく
(アナライズ)",1.1,80.0,60,不明,182,70,素早+2,水中3,5355,125万,
122,バリヤード,Mr. Mime,40,45,65,100,120,90,460,エスパー,フェアリー,"ぼうおん
フィルター
(テクニシャン)",1.3,54.5,45,1:1,161,70,特防+2,人型,6630,100万,0.5
123,ストライク,Scyther,70,110,80,55,80,105,500,むし,ひこう,"むしのしらせ
テクニシャン
(ふくつのこころ)",1.5,56.0,45,1:1,100,70,攻撃+1,虫,6630,100万,0.5
124,ルージュラ,Jynx,65,50,35,115,95,95,455,こおり,エスパー,"どんかん
よちむ
(かんそうはだ)",1.4,40.6,45,♀,159,70,特攻+2,人型,6630,100万,0.0
125,エレブー,Electabuzz,65,83,57,95,85,105,490,でんき,,"せいでんき
(やるき)",1.1,30.0,45,3:1,172,70,素早+2,人型,6630,100万,0.75
126,ブーバー,Magmar,65,95,57,100,85,93,495,ほのお,,"ほのおのからだ
(やるき)",1.3,44.5,45,3:1,173,70,特攻+2,人型,6630,100万,0.75
127,カイロス,Pinsir,65,125,100,55,70,85,500,むし,,"かいりきバサミ
かたやぶり
(じしんかじょう)",1.5,55.0,45,1:1,175,70,攻撃+2,虫,6630,125万,0.5
127-1,メガカイロス,Mega Pinsir,65,155,120,65,90,105,600,むし,ひこう,スカイスキン,1.7,59.0,45,1:1,210,70,攻撃+2,虫,6630,125万,0.5
128,ケンタロス,Tauros,75,100,95,40,70,110,490,ノーマル,,"いかく
いかりのつぼ
(ちからずく)",1.4,88.4,45,1:1,172,70,"攻撃+1
素早+1",陸上,5355,125万,0.5
129,コイキング,Magikarp,20,10,55,15,20,80,200,みず,,"すいすい
(びびり)",0.9,10.0,255,1:1,40,70,素早+1,"水中2
ドラゴン",1530,125万,0.5
130,ギャラドス,Gyarados,95,125,79,60,100,81,540,みず,ひこう,"いかく
(じしんかじょう)",6.5,235.0,45,1:1,189,70,攻撃+2,"水中2
ドラゴン",1530,125万,0.5
130-1,メガギャラドス,Mega Gyarados,95,155,109,70,130,81,640,みず,あく,かたやぶり,6.5,305.0,45,1:1,224,70,攻撃+2,"水中2
ドラゴン",1530,125万,0.5
131,ラプラス,Lapras,130,85,80,85,95,60,535,みず,こおり,"ちょすい
シェルアーマー
(うるおいボディ)",2.5,220.0,45,1:1,187,70,HP+2,"怪獣
水中1",10455,125万,0.5
132,メタモン,Ditto,48,48,48,48,48,48,288,ノーマル,,"じゅうなん
(かわりもの)",0.3,4.0,35,不明,101,70,HP+1,メタモン,5355,100万,
133,イーブイ,Eevee,55,55,50,45,65,55,325,ノーマル,,"にげあし
てきおうりょく
(きけんよち)",0.3,6.5,45,7:1,65,70,特防+1,陸上,9180,100万,0.875
134,シャワーズ,Vaporeon,130,65,60,110,95,65,525,みず,,"ちょすい
(うるおいボディ)",1.0,29.0,45,7:1,184,70,HP+2,陸上,9180,100万,0.875
135,サンダース,Jolteon,65,65,60,110,95,130,525,でんき,,"ちくでん
(はやあし)",0.8,24.5,45,7:1,184,70,素早+2,陸上,9180,100万,0.875
136,ブースター,Flareon,65,130,60,95,110,65,525,ほのお,,"もらいび
(こんじょう)",0.9,25.0,45,7:1,184,70,攻撃+2,陸上,9180,100万,0.875
137,ポリゴン,Porygon,65,60,70,85,75,40,395,ノーマル,,"トレース
ダウンロード
(アナライズ)",0.8,36.5,45,不明,79,70,特攻+1,鉱物,5355,100万,
138,オムナイト,Omanyte,35,40,100,90,55,35,355,いわ,みず,"すいすい
シェルアーマー
(くだけるよろい)",0.4,7.5,45,7:1,71,70,防御+1,"水中1
水中3",7905,100万,0.875
139,オムスター,Omastar,70,60,125,115,70,55,495,いわ,みず,"すいすい
シェルアーマー
(くだけるよろい)",1.0,35.0,45,7:1,173,70,防御+2,"水中1
水中3",7905,100万,0.875
140,カブト,Kabuto,30,80,90,55,45,55,355,いわ,みず,"すいすい
カブトアーマー
(くだけるよろい)",0.5,11.5,45,7:1,71,70,防御+1,"水中1
水中3",7905,100万,0.875
141,カブトプス,Kabutops,60,115,105,65,70,80,495,いわ,みず,"すいすい
カブトアーマー
(くだけるよろい)",1.3,40.5,45,7:1,173,70,攻撃+2,"水中1
水中3",7905,100万,0.875
142,プテラ,Aerodactyl,80,105,65,60,75,130,515,いわ,ひこう,"いしあたま
プレッシャー
(きんちょうかん)",1.8,59.0,45,7:1,180,70,素早+2,飛行,9180,125万,0.875
142-1,メガプテラ,Mega Aerodactyl,80,135,85,70,95,150,615,いわ,ひこう,かたいツメ,2.1,79.0,45,7:1,215,70,素早+2,飛行,9180,125万,0.875
143,カビゴン,Snorlax,160,110,65,65,110,30,540,ノーマル,,"めんえき
あついしぼう
(くいしんぼう)",2.1,460.0,25,7:1,189,70,HP+2,怪獣,10455,125万,0.875
144,フリーザー,Articuno,90,85,100,95,125,85,580,こおり,ひこう,"プレッシャー
(ゆきがくれ)",1.7,55.4,3,不明,261,35,特防+3,未発見,20655,125万,
145,サンダー,Zapdos,90,90,85,125,90,100,580,でんき,ひこう,"プレッシャー
(せいでんき)",1.6,52.6,3,不明,261,35,特攻+3,未発見,20655,125万,
146,ファイヤー,Moltres,90,100,90,125,85,90,580,ほのお,ひこう,"プレッシャー
(ほのおのからだ)",2.0,60.0,3,不明,261,35,特攻+3,未発見,20655,125万,
147,ミニリュウ,Dratini,41,64,45,50,50,50,300,ドラゴン,,"だっぴ
(ふしぎなうろこ)",1.8,3.3,45,1:1,60,35,攻撃+1,"水中1
ドラゴン",10455,125万,0.5
148,ハクリュー,Dragonair,61,84,65,70,70,70,420,ドラゴン,,"だっぴ
(ふしぎなうろこ)",4.0,16.5,45,1:1,147,35,攻撃+2,"水中1
ドラゴン",10455,125万,0.5
149,カイリュー,Dragonite,91,134,95,100,100,80,600,ドラゴン,ひこう,"せいしんりょく
(マルチスケイル)",2.2,210.0,45,1:1,270,35,攻撃+3,"水中1
ドラゴン",10455,125万,0.5
150,ミュウツー,Mewtwo,106,110,90,154,90,130,680,エスパー,,"プレッシャー
(きんちょうかん)",2.0,122.0,3,不明,306,0,特攻+3,未発見,30855,125万,
150-1,メガミュウツーX,Mega Mewtwo X,106,190,100,154,100,130,780,エスパー,かくとう,ふくつのこころ,2.3,127.0,3,不明,351,0,特攻+3,未発見,30855,125万,
150-2,メガミュウツーY,Mega Mewtwo Y,106,150,70,194,120,140,780,エスパー,,ふみん,1.5,33.0,3,不明,351,0,特攻+3,未発見,30855,125万,
151,ミュウ,Mew,100,100,100,100,100,100,600,エスパー,,シンクロ,0.4,4.0,45,不明,270,100,HP+3,未発見,30855,106万,
152,チコリータ,Chikorita,45,49,65,49,65,45,318,くさ,,"しんりょく
(リーフガード)",0.9,6.4,45,7:1,64,70,特防+1,"怪獣
植物",5355,106万,0.875
153,ベイリーフ,Bayleef,60,62,80,63,80,60,405,くさ,,"しんりょく
(リーフガード)",1.2,15.8,45,7:1,142,70,"防御+1
特防+1","怪獣
植物",5355,106万,0.875
154,メガニウム,Meganium,80,82,100,83,100,80,525,くさ,,"しんりょく
(リーフガード)",1.8,100.5,45,7:1,236,70,"防御+1
特防+2","怪獣
植物",5355,106万,0.875
155,ヒノアラシ,Cyndaquil,39,52,43,60,50,65,309,ほのお,,"もうか
(もらいび)",0.5,7.9,45,7:1,62,70,素早+1,陸上,5355,106万,0.875
156,マグマラシ,Quilava,58,64,58,80,65,80,405,ほのお,,"もうか
(もらいび)",0.9,19.0,45,7:1,142,70,"特攻+1
素早+1",陸上,5355,106万,0.875
157,バクフーン,Typhlosion,78,84,78,109,85,100,534,ほのお,,"もうか
(もらいび)",1.7,79.5,45,7:1,240,70,特攻+3,陸上,5355,106万,0.875
158,ワニノコ,Totodile,50,65,64,44,48,43,314,みず,,"げきりゅう
(ちからずく)",0.6,9.5,45,7:1,63,70,攻撃+1,"怪獣
水中1",5355,106万,0.875
159,アリゲイツ,Croconaw,65,80,80,59,63,58,405,みず,,"げきりゅう
(ちからずく)",1.1,25.0,45,7:1,142,70,"攻撃+1
防御+1","怪獣
水中1",5355,106万,0.875
160,オーダイル,Feraligatr,85,105,100,79,83,78,530,みず,,"げきりゅう
(ちからずく)",2.3,88.8,45,7:1,239,70,"攻撃+2
防御+1","怪獣
水中1",5355,106万,0.875
161,オタチ,Sentret,35,46,34,35,45,20,215,ノーマル,,"にげあし
するどいめ
(おみとおし)",0.8,6.0,255,1:1,43,70,攻撃+1,陸上,4080,100万,0.5
162,オオタチ,Furret,85,76,64,45,55,90,415,ノーマル,,"にげあし
するどいめ
(おみとおし)",1.8,32.5,90,1:1,145,70,素早+2,陸上,4080,100万,0.5
163,ホーホー,Hoothoot,60,30,30,36,56,50,262,ノーマル,ひこう,"ふみん
するどいめ
(いろめがね)",0.7,21.2,255,1:1,52,70,HP+1,飛行,4080,100万,0.5
164,ヨルノズク,Noctowl,100,50,50,86,96,70,452,ノーマル,ひこう,"ふみん
するどいめ
(いろめがね)",1.6,40.8,90,1:1,158,70,HP+2,飛行,4080,100万,0.5
165,レディバ,Ledyba,40,20,30,40,80,55,265,むし,ひこう,"むしのしらせ
はやおき
(びびり)",1.0,10.8,255,1:1,53,70,特防+1,虫,4080,80万,0.5
166,レディアン,Ledian,55,35,50,55,110,85,390,むし,ひこう,"むしのしらせ
はやおき
(てつのこぶし)",1.4,35.6,90,1:1,137,70,特防+2,虫,4080,80万,0.5
167,イトマル,Spinarak,40,60,40,40,40,30,250,むし,どく,"むしのしらせ
ふみん
(スナイパー)",0.5,8.5,255,1:1,50,70,攻撃+1,虫,4080,80万,0.5
168,アリアドス,Ariados,70,90,70,60,60,40,400,むし,どく,"むしのしらせ
ふみん
(スナイパー)",1.1,33.5,90,1:1,140,70,攻撃+2,虫,4080,80万,0.5
169,クロバット,Crobat,85,90,80,70,80,130,535,どく,ひこう,"せいしんりょく
(すりぬけ)",1.8,75.0,90,1:1,241,70,素早+3,飛行,4080,100万,0.5
170,チョンチー,Chinchou,75,38,38,56,56,67,330,みず,でんき,"ちくでん
はっこう
(ちょすい)",0.5,12.0,190,1:1,66,70,HP+1,水中2,5355,125万,0.5
171,ランターン,Lanturn,125,58,58,76,76,67,460,みず,でんき,"ちくでん
はっこう
(ちょすい)",1.2,22.5,75,1:1,161,70,HP+2,水中2,5355,125万,0.5
172,ピチュー,Pichu,20,40,15,35,35,60,205,でんき,,"せいでんき
(ひらいしん)",0.3,2.0,190,1:1,41,70,素早+1,未発見,2805,100万,0.5
173,ピィ,Cleffa,50,25,28,45,55,15,218,フェアリー,,"メロメロボディ
マジックガード
(フレンドガード)",0.3,3.0,150,1:3,44,140,特防+1,未発見,2805,80万,0.25
174,ププリン,Igglybuff,90,30,15,40,20,15,210,ノーマル,フェアリー,"メロメロボディ
かちき
(フレンドガード)",0.3,1.0,170,1:3,42,70,HP+1,未発見,2805,80万,0.25
175,トゲピー,Togepi,35,20,65,40,65,20,245,フェアリー,,"はりきり
てんのめぐみ
(きょううん)",0.3,1.5,190,7:1,49,70,特防+1,未発見,2805,80万,0.875
176,トゲチック,Togetic,55,40,85,80,105,40,405,フェアリー,ひこう,"はりきり
てんのめぐみ
(きょううん)",0.6,3.2,75,7:1,142,70,特防+2,"飛行
妖精",2805,80万,0.875
177,ネイティ,Natu,40,50,45,70,45,70,320,エスパー,ひこう,"シンクロ
はやおき
(マジックミラー)",0.2,2.0,190,1:1,64,70,特攻+1,飛行,5355,100万,0.5
178,ネイティオ,Xatu,65,75,70,95,70,95,470,エスパー,ひこう,"シンクロ
はやおき
(マジックミラー)",1.5,15.0,75,1:1,165,70,"特攻+1
素早+1",飛行,5355,100万,0.5
179,メリープ,Mareep,55,40,40,65,45,35,280,でんき,,"せいでんき
(プラス)",0.6,7.8,235,1:1,56,70,特攻+1,"怪獣
陸上",5355,106万,0.5
180,モココ,Flaaffy,70,55,55,80,60,45,365,でんき,,"せいでんき
(プラス)",0.8,13.3,120,1:1,128,70,特攻+2,"怪獣
陸上",5355,106万,0.5
181,デンリュウ,Ampharos,90,75,85,115,90,55,510,でんき,,"せいでんき
(プラス)",1.4,61.5,45,1:1,230,70,特攻+3,"怪獣
陸上",5355,106万,0.5
181-1,メガデンリュウ,Mega Ampharos,90,95,105,165,110,45,610,でんき,ドラゴン,かたやぶり,1.4,61.5,45,1:1,275,70,特攻+3,"怪獣
陸上",5355,106万,0.5
182,キレイハナ,Bellossom,75,80,95,90,100,50,490,くさ,,"ようりょくそ
(いやしのこころ)",0.4,5.8,45,1:1,221,70,特防+3,植物,5355,106万,0.5
183,マリル,Marill,70,20,50,20,50,40,250,みず,フェアリー,"あついしぼう
ちからもち
(そうしょく)",0.4,8.5,190,1:1,88,70,HP+2,"水中1
妖精",2805,80万,0.5
184,マリルリ,Azumarill,100,50,80,60,80,50,420,みず,フェアリー,"あついしぼう
ちからもち
(そうしょく)",0.8,28.5,75,1:1,189,70,HP+3,"水中1
妖精",2805,80万,0.5
185,ウソッキー,Sudowoodo,70,100,115,30,65,30,410,いわ,,"がんじょう
いしあたま
(びびり)",1.2,38.0,65,1:1,144,70,防御+2,鉱物,5355,100万,0.5
186,ニョロトノ,Politoed,90,75,75,90,100,70,500,みず,,"ちょすい
しめりけ
(あめふらし)",1.1,33.9,45,1:1,225,70,特防+3,水中1,5355,106万,0.5
187,ハネッコ,Hoppip,35,35,40,35,55,50,250,くさ,ひこう,"ようりょくそ
リーフガード
(すりぬけ)",0.4,0.5,255,1:1,50,70,特防+1,"妖精
植物",5355,106万,0.5
188,ポポッコ,Skiploom,55,45,50,45,65,80,340,くさ,ひこう,"ようりょくそ
リーフガード
(すりぬけ)",0.6,1.0,120,1:1,119,70,素早+2,"妖精
植物",5355,106万,0.5
189,ワタッコ,Jumpluff,75,55,70,55,95,110,460,くさ,ひこう,"ようりょくそ
リーフガード
(すりぬけ)",0.8,3.0,45,1:1,207,70,素早+3,"妖精
植物",5355,106万,0.5
190,エイパム,Aipom,55,70,55,40,55,85,360,ノーマル,,"にげあし
ものひろい
(スキルリンク)",0.8,11.5,45,1:1,72,70,素早+1,陸上,5355,80万,0.5
191,ヒマナッツ,Sunkern,30,30,30,30,30,30,180,くさ,,"ようりょくそ
サンパワー
(はやおき)",0.3,1.8,235,1:1,36,70,特攻+1,植物,5355,106万,0.5
192,キマワリ,Sunflora,75,75,55,105,85,30,425,くさ,,"ようりょくそ
サンパワー
(はやおき)",0.8,8.5,120,1:1,149,70,特攻+2,植物,5355,106万,0.5
193,ヤンヤンマ,Yanma,65,65,45,75,45,95,390,むし,ひこう,"かそく
ふくがん
(おみとおし)",1.2,38.0,75,1:1,78,70,素早+1,虫,5355,100万,0.5
194,ウパー,Wooper,55,45,45,25,25,15,210,みず,じめん,"しめりけ
ちょすい
(てんねん)",0.4,8.5,255,1:1,42,70,HP+1,"水中1
陸上",5355,100万,0.5
195,ヌオー,Quagsire,95,85,85,65,65,35,430,みず,じめん,"しめりけ
ちょすい
(てんねん)",1.4,75.0,90,1:1,151,70,HP+2,"水中1
陸上",5355,100万,0.5
196,エーフィ,Espeon,65,65,60,130,95,110,525,エスパー,,"シンクロ
(マジックミラー)",0.9,26.5,45,7:1,184,70,特攻+2,陸上,8690,100万,0.875
197,ブラッキー,Umbreon,95,65,110,60,130,65,525,あく,,"シンクロ
(せいしんりょく)",1.0,27.0,45,7:1,184,35,特防+2,陸上,8690,100万,0.875
198,ヤミカラス,Murkrow,60,85,42,85,42,91,405,あく,ひこう,"ふみん
きょううん
(いたずらごころ)",0.5,2.1,30,1:1,81,35,素早+1,飛行,5355,106万,0.5
199,ヤドキング,Slowking,95,75,80,100,110,30,490,みず,エスパー,"どんかん
マイペース
(さいせいりょく)",2.0,79.5,70,1:1,172,70,特防+3,"怪獣
水中1",5355,100万,0.5
200,ムウマ,Misdreavus,60,60,60,85,85,85,435,ゴースト,,ふゆう,0.7,1.0,45,1:1,87,35,特防+1,不定形,6630,80万,0.5
201,アンノーン,Unown,48,72,48,72,48,48,336,エスパー,,ふゆう,0.5,5.0,225,不明,118,70,"攻撃+1
特攻+1",未発見,10455,100万,
202,ソーナンス,Wobbuffet,190,33,58,33,58,33,405,エスパー,,"かげふみ
(テレパシー)",1.3,28.5,45,1:1,142,70,HP+2,不定形,5355,100万,0.5
203,キリンリキ,Girafarig,70,80,65,90,65,85,455,ノーマル,エスパー,"せいしんりょく
はやおき
(そうしょく)",1.5,41.5,60,1:1,159,70,特攻+2,陸上,5355,100万,0.5
204,クヌギダマ,Pineco,50,65,90,35,35,15,290,むし,,"がんじょう
(ぼうじん)",0.6,7.2,190,1:1,58,70,防御+1,虫,5355,100万,0.5
205,フォレトス,Forretress,75,90,140,60,60,40,465,むし,はがね,"がんじょう
(ぼうじん)",1.2,125.8,75,1:1,163,70,防御+2,虫,5355,100万,0.5
206,ノコッチ,Dunsparce,100,70,70,65,65,45,415,ノーマル,,"てんのめぐみ
にげあし
(びびり)",1.5,14.0,190,1:1,145,70,HP+1,陸上,5355,100万,0.5
207,グライガー,Gligar,65,75,105,35,65,85,430,じめん,ひこう,"かいりきバサミ
すながくれ
(めんえき)",1.1,64.8,60,1:1,86,70,防御+1,虫,5355,106万,0.5
208,ハガネール,Steelix,75,85,200,55,65,30,510,はがね,じめん,"いしあたま
がんじょう
(ちからずく)",9.2,400.0,25,1:1,179,70,防御+2,鉱物,6630,100万,0.5
208-1,メガハガネール,Mega Steelix,75,125,230,55,95,30,610,はがね,じめん,すなのちから,10.5,740.0,25,1:1,214,70,防御+2,鉱物,6630,100万,0.5
209,ブルー,Snubbull,60,80,50,40,40,30,300,フェアリー,,"いかく
にげあし
(びびり)",0.6,7.8,190,1:3,60,70,攻撃+1,"陸上
妖精",5355,80万,0.25
210,グランブル,Granbull,90,120,75,60,60,45,450,フェアリー,,"いかく
はやあし
(びびり)",1.4,48.7,75,1:3,158,70,攻撃+2,"陸上
妖精",5355,80万,0.25
211,ハリーセン,Qwilfish,65,95,85,55,55,85,440,みず,どく,"どくのトゲ
すいすい
(いかく)",0.5,3.9,45,1:1,88,70,攻撃+1,水中2,5355,100万,0.5
212,ハッサム,Scizor,70,130,100,55,80,65,500,むし,はがね,"むしのしらせ
テクニシャン
(ライトメタル)",1.8,118.0,25,1:1,175,70,攻撃+2,虫,6630,100万,0.5
212-1,メガハッサム,Mega Scizor,70,150,140,65,100,75,600,むし,はがね,テクニシャン,2.0,125.0,25,1:1,210,70,攻撃+2,虫,6630,100万,0.5
213,ツボツボ,Shuckle,20,10,230,10,230,5,505,むし,いわ,"がんじょう
くいしんぼう
(あまのじゃく)",0.6,20.5,190,1:1,177,70,"防御+1
特防+1",虫,5355,106万,0.5
214,ヘラクロス,Heracross,80,125,75,40,95,85,500,むし,かくとう,"むしのしらせ
こんじょう
(じしんかじょう)",1.5,54.0,45,1:1,175,70,攻撃+2,虫,6630,125万,0.5
214-1,メガヘラクロス,Mega Heracross,80,185,115,40,105,75,600,むし,かくとう,スキルリンク,1.7,62.5,45,1:1,210,70,攻撃+2,虫,6630,125万,0.5
215,ニューラ,Sneasel,55,95,55,35,75,115,430,あく,こおり,"せいしんりょく
するどいめ
(わるいてぐせ)",0.9,28.0,60,1:1,86,35,素早+1,陸上,5355,106万,0.5
216,ヒメグマ,Teddiursa,60,80,50,50,50,40,330,ノーマル,,"ものひろい
はやあし
(みつあつめ)",0.6,8.8,120,1:1,66,70,攻撃+1,陸上,5355,100万,0.5
217,リングマ,Ursaring,90,130,75,75,75,55,500,ノーマル,,"こんじょう
はやあし
(きんちょうかん)",1.8,125.8,60,1:1,175,70,攻撃+2,陸上,5355,100万,0.5
218,マグマッグ,Slugma,40,40,40,70,40,20,250,ほのお,,"マグマのよろい
ほのおのからだ
(くだけるよろい)",0.7,35.0,190,1:1,50,70,特攻+1,不定形,5355,100万,0.5
219,マグカルゴ,Magcargo,60,50,120,90,80,30,430,ほのお,いわ,"マグマのよろい
ほのおのからだ
(くだけるよろい)",0.8,55.0,75,1:1,151,70,防御+2,不定形,5355,100万,0.5
220,ウリムー,Swinub,50,50,40,30,30,50,250,こおり,じめん,"どんかん
ゆきがくれ
(あついしぼう)",0.4,6.5,225,1:1,50,70,攻撃+1,陸上,5355,125万,0.5
221,イノムー,Piloswine,100,100,80,60,60,50,450,こおり,じめん,"どんかん
ゆきがくれ
(あついしぼう)",1.1,55.8,75,1:1,158,70,"HP+1
攻撃+1",陸上,5355,125万,0.5
222,サニーゴ,Corsola,65,55,95,65,95,35,410,みず,いわ,"はりきり
しぜんかいふく
(さいせいりょく)",0.6,5.0,60,1:3,144,70,"防御+1
特防+1","水中1
水中3",5355,80万,0.25
223,テッポウオ,Remoraid,35,65,35,65,35,65,300,みず,,"はりきり
スナイパー
(ムラっけ)",0.6,12.0,190,1:1,60,70,特攻+1,"水中1
水中2",5355,100万,0.5
224,オクタン,Octillery,75,105,75,105,75,45,480,みず,,"きゅうばん
スナイパー
(ムラっけ)",0.9,28.5,75,1:1,168,70,"攻撃+1
特攻+1","水中1
水中2",5355,100万,0.5
225,デリバード,Delibird,45,55,45,65,45,75,330,こおり,ひこう,"やるき
はりきり
(ふみん)",0.9,16.0,45,1:1,116,70,素早+1,"水中1
陸上",5355,80万,0.5
226,マンタイン,Mantine,85,40,70,80,140,70,485,みず,ひこう,"すいすい
ちょすい
(みずのベール)",2.1,220.0,25,1:1,170,70,特防+2,水中1,6630,125万,0.5
227,エアームド,Skarmory,65,80,140,40,70,70,465,はがね,ひこう,"するどいめ
がんじょう
(くだけるよろい)",1.7,50.5,25,1:1,163,70,防御+2,飛行,6630,125万,0.5
228,デルビル,Houndour,45,60,30,80,50,65,330,あく,ほのお,"はやおき
もらいび
(きんちょうかん)",0.6,10.8,120,1:1,66,35,特攻+1,陸上,5355,125万,0.5
229,ヘルガー,Houndoom,75,90,50,110,80,95,500,あく,ほのお,"はやおき
もらいび
(きんちょうかん)",1.4,35.0,45,1:1,175,35,特攻+2,陸上,5355,125万,0.5
229-1,メガヘルガー,Mega Houndoom,75,90,90,140,90,115,600,あく,ほのお,サンパワー,1.9,49.5,45,1:1,210,35,特攻+2,陸上,5355,125万,0.5
230,キングドラ,Kingdra,75,95,95,95,95,85,540,みず,ドラゴン,"すいすい
スナイパー
(しめりけ)",1.8,152.0,45,1:1,243,70,"攻撃+1
特攻+1
特防+1","水中1
ドラゴン",5355,100万,0.5
231,ゴマゾウ,Phanpy,90,60,60,40,40,40,330,じめん,,"ものひろい
(すながくれ)",0.5,33.5,120,1:1,66,70,HP+1,陸上,5355,100万,0.5
232,ドンファン,Donphan,90,120,120,60,60,50,500,じめん,,"がんじょう
(すながくれ)",1.1,120.0,60,1:1,175,70,"攻撃+1
防御+1",陸上,5355,100万,0.5
233,ポリゴン２,Porygon2,85,80,90,105,95,60,515,ノーマル,,"トレース
ダウンロード
(アナライズ)",0.6,32.5,45,不明,180,70,特攻+2,鉱物,5355,100万,
234,オドシシ,Stantler,73,95,62,85,65,85,465,ノーマル,,"いかく
おみとおし
(そうしょく)",1.4,71.2,45,1:1,163,70,攻撃+1,陸上,5355,125万,0.5
235,ドーブル,Smeargle,55,20,35,20,45,75,250,ノーマル,,"マイペース
テクニシャン
(ムラっけ)",1.2,58.0,45,1:1,88,70,素早+1,陸上,5355,80万,0.5
236,バルキー,Tyrogue,35,35,35,35,35,35,210,かくとう,,"こんじょう
ふくつのこころ
(やるき)",0.7,21.0,75,♂,42,70,攻撃+1,未発見,6630,100万,1.0
237,カポエラー,Hitmontop,50,95,95,35,110,70,455,かくとう,,"いかく
テクニシャン
(ふくつのこころ)",1.4,48.0,45,♂,159,70,特防+2,人型,6630,100万,1.0
238,ムチュール,Smoochum,45,30,15,85,65,65,305,こおり,エスパー,"どんかん
よちむ
(うるおいボディ)",0.4,6.0,45,♀,61,70,特攻+1,未発見,6630,100万,0.0
239,エレキッド,Elekid,45,63,37,65,55,95,360,でんき,,"せいでんき
(やるき)",0.6,23.5,45,3:1,72,70,素早+1,未発見,6630,100万,0.75
240,ブビィ,Magby,45,75,37,70,55,83,365,ほのお,,"ほのおのからだ
(やるき)",0.7,21.4,45,3:1,73,70,素早+1,未発見,6630,100万,0.75
241,ミルタンク,Miltank,95,80,105,40,70,100,490,ノーマル,,"あついしぼう
きもったま
(そうしょく)",1.2,75.5,45,♀,172,70,防御+2,陸上,5355,125万,0.0
242,ハピナス,Blissey,255,10,10,75,135,55,540,ノーマル,,"しぜんかいふく
てんのめぐみ
(いやしのこころ)",1.5,46.8,30,♀,608,140,HP+3,妖精,10455,80万,0.0
243,ライコウ,Raikou,90,85,75,115,100,115,580,でんき,,"プレッシャー
(せいしんりょく)",1.9,178.0,3,不明,261,35,"特攻+1
素早+2",未発見,20655,125万,
244,エンテイ,Entei,115,115,85,90,75,100,580,ほのお,,"プレッシャー
(せいしんりょく)",2.1,198.0,3,不明,261,35,"HP+1
攻撃+2",未発見,20655,125万,
245,スイクン,Suicune,100,75,115,90,115,85,580,みず,,"プレッシャー
(せいしんりょく)",2.0,187.0,3,不明,261,35,"防御+1
特防+2",未発見,20655,125万,
246,ヨーギラス,Larvitar,50,64,50,45,50,41,300,いわ,じめん,"こんじょう
(すながくれ)",0.6,72.0,45,1:1,60,35,攻撃+1,怪獣,10455,125万,0.5
247,サナギラス,Pupitar,70,84,70,65,70,51,410,いわ,じめん,"だっぴ
(だっぴ)",1.2,152.0,45,1:1,144,35,攻撃+2,怪獣,10455,125万,0.5
248,バンギラス,Tyranitar,100,134,110,95,100,61,600,いわ,あく,"すなおこし
(きんちょうかん)",2.0,202.0,45,1:1,270,35,攻撃+3,怪獣,10455,125万,0.5
248-1,メガバンギラス,Mega Tyranitar,100,164,150,95,120,71,700,いわ,あく,すなおこし,2.5,255.0,45,1:1,315,35,攻撃+3,怪獣,10455,125万,0.5
249,ルギア,Lugia,106,90,130,90,154,110,680,エスパー,ひこう,"プレッシャー
(マルチスケイル)",5.2,216.0,3,不明,306,0,特防+3,未発見,30855,125万,
250,ホウオウ,Ho-Oh,106,130,90,110,154,90,680,ほのお,ひこう,"プレッシャー
(さいせいりょく)",3.8,199.0,3,不明,306,0,特防+3,未発見,30855,125万,
251,セレビィ,Celebi,100,100,100,100,100,100,600,エスパー,くさ,しぜんかいふく,0.6,5.0,45,不明,270,100,HP+3,未発見,30855,106万,
252,キモリ,Treecko,40,45,35,65,55,70,310,くさ,,"しんりょく
(かるわざ)",0.5,5.0,45,7:1,62,70,素早+1,"怪獣
ドラゴン",5355,106万,0.875
253,ジュプトル,Grovyle,50,65,45,85,65,95,405,くさ,,"しんりょく
(かるわざ)",0.9,21.6,45,7:1,142,70,素早+2,"怪獣
ドラゴン",5355,106万,0.875
254,ジュカイン,Sceptile,70,85,65,105,85,120,530,くさ,,"しんりょく
(かるわざ)",1.7,52.2,45,7:1,239,70,素早+3,"怪獣
ドラゴン",5355,106万,0.875
254-1,メガジュカイン,Mega Sceptile,70,110,75,145,85,145,630,くさ,ドラゴン,ひらいしん,1.9,55.2,45,7:1,284,70,素早+3,"怪獣
ドラゴン",5355,106万,0.875
